,seed,num_clf_data,alpha,method,avg_set_size,coverage_rate,accuracy
0,0,10,0.02,rand_aps,2.7200000286102295,0.9900000095367432,0.36
1,0,10,0.05,rand_aps,2.3299999237060547,0.9700000286102295,0.36
2,0,10,0.1,rand_aps,1.96999990940094,0.9100000262260437,0.36
3,0,10,0.2,rand_aps,1.7699999809265137,0.8199999928474426,0.36
4,0,10,0.02,aps,2.93999981880188,0.9900000095367432,0.36
5,0,10,0.05,aps,2.93999981880188,0.9900000095367432,0.36
6,0,10,0.1,aps,1.959999918937683,0.8899999856948853,0.36
7,0,10,0.2,aps,1.7899999618530273,0.75,0.36
8,0,10,0.02,thr,2.5999999046325684,0.9900000095367432,0.36
9,0,10,0.05,thr,2.129999876022339,0.949999988079071,0.36
10,0,10,0.1,thr,1.959999918937683,0.9200000166893005,0.36
11,0,10,0.2,thr,1.71999990940094,0.8100000023841858,0.36
12,0,10,0.02,ranker,2.2300000190734863,1.0,0.36
13,0,10,0.05,ranker,1.7999999523162842,0.9800000190734863,0.36
14,0,10,0.1,ranker,1.25,0.9399999976158142,0.36
15,0,10,0.2,ranker,0.9799999594688416,0.8500000238418579,0.36
16,0,20,0.02,rand_aps,2.2699999809265137,0.9900000095367432,0.8
17,0,20,0.05,rand_aps,2.109999895095825,0.9700000286102295,0.8
18,0,20,0.1,rand_aps,1.6399999856948853,0.9100000262260437,0.8
19,0,20,0.2,rand_aps,1.059999942779541,0.75,0.8
20,0,20,0.02,aps,2.8899998664855957,1.0,0.8
21,0,20,0.05,aps,2.259999990463257,0.9800000190734863,0.8
22,0,20,0.1,aps,1.7999999523162842,0.9599999785423279,0.8
23,0,20,0.2,aps,1.3399999141693115,0.800000011920929,0.8
24,0,20,0.02,thr,2.419999837875366,0.9900000095367432,0.8
25,0,20,0.05,thr,2.240000009536743,0.9900000095367432,0.8
26,0,20,0.1,thr,1.3399999141693115,0.9100000262260437,0.8
27,0,20,0.2,thr,1.0399999618530273,0.8100000023841858,0.8
28,0,20,0.02,ranker,2.25,1.0,0.8
29,0,20,0.05,ranker,1.5699999332427979,0.9800000190734863,0.8
30,0,20,0.1,ranker,1.2599999904632568,0.949999988079071,0.8
31,0,20,0.2,ranker,0.9899999499320984,0.8299999833106995,0.8
32,0,30,0.02,rand_aps,2.3299999237060547,0.9900000095367432,0.89
33,0,30,0.05,rand_aps,1.7899999618530273,0.9800000190734863,0.89
34,0,30,0.1,rand_aps,1.4900000095367432,0.949999988079071,0.89
35,0,30,0.2,rand_aps,1.0699999332427979,0.8100000023841858,0.89
36,0,30,0.02,aps,2.879999876022339,1.0,0.89
37,0,30,0.05,aps,1.8700000047683716,0.9800000190734863,0.89
38,0,30,0.1,aps,1.7599999904632568,0.949999988079071,0.89
39,0,30,0.2,aps,1.4499999284744263,0.8399999737739563,0.89
40,0,30,0.02,thr,2.2200000286102295,1.0,0.89
41,0,30,0.05,thr,1.8299999237060547,0.9700000286102295,0.89
42,0,30,0.1,thr,1.1399999856948853,0.949999988079071,0.89
43,0,30,0.2,thr,0.949999988079071,0.8500000238418579,0.89
44,0,30,0.02,ranker,2.059999942779541,1.0,0.89
45,0,30,0.05,ranker,1.5699999332427979,0.9700000286102295,0.89
46,0,30,0.1,ranker,1.309999942779541,0.9100000262260437,0.89
47,0,30,0.2,ranker,1.0399999618530273,0.8500000238418579,0.89
48,0,40,0.02,rand_aps,2.129999876022339,1.0,0.9
49,0,40,0.05,rand_aps,1.5699999332427979,0.949999988079071,0.9
50,0,40,0.1,rand_aps,1.2400000095367432,0.9200000166893005,0.9
51,0,40,0.2,rand_aps,1.0199999809265137,0.8199999928474426,0.9
52,0,40,0.02,aps,2.0,0.9900000095367432,0.9
53,0,40,0.05,aps,1.7400000095367432,0.9800000190734863,0.9
54,0,40,0.1,aps,1.5999999046325684,0.8899999856948853,0.9
55,0,40,0.2,aps,1.4399999380111694,0.8299999833106995,0.9
56,0,40,0.02,thr,1.5999999046325684,0.9900000095367432,0.9
57,0,40,0.05,thr,1.46999990940094,0.9800000190734863,0.9
58,0,40,0.1,thr,1.1799999475479126,0.9399999976158142,0.9
59,0,40,0.2,thr,0.8899999856948853,0.8100000023841858,0.9
60,0,40,0.02,ranker,1.75,0.9700000286102295,0.9
61,0,40,0.05,ranker,1.5799999237060547,0.9399999976158142,0.9
62,0,40,0.1,ranker,1.3899999856948853,0.9100000262260437,0.9
63,0,40,0.2,ranker,1.0199999809265137,0.8199999928474426,0.9
